hv001,hv002,hv009,hv010,hv011,hv012,hv014,hv024,hv025,hv027,hv206,hv201,hv204,hv205,hv225,hv226,hv213,hv207,hv208,hv243a,hv221,hv210,hv211,hv212,hv243c,hv243d,hv209,hv244,hv245,hv246,hv247
6,82,6,2,0,6,0,1,2,0,0,21,40.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,40.0,1,0
6,93,6,1,0,6,1,1,2,0,0,14,60.0,24,0.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,300.0,1,0
6,98,5,1,0,5,1,1,2,0,0,21,30.0,24,0.0,8,34,1,0,1,0,0.0,1.0,0.0,0,0,0,1,300.0,0,0
6,103,5,0,1,5,1,1,2,1,0,14,30.0,24,1.0,8,11,1,0,0,0,0.0,0.0,0.0,0,0,0,1,30.0,1,0
6,114,5,1,0,5,2,1,2,0,0,14,120.0,24,1.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,30.0,0,1
7,2,4,1,1,4,1,1,2,1,0,13,996.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,60.0,0,0
7,8,3,1,0,3,1,1,2,0,0,14,30.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,40.0,0,0
7,14,5,1,0,5,1,1,2,0,0,14,10.0,24,0.0,8,34,1,0,1,0,0.0,0.0,0.0,0,0,0,1,90.0,1,1
7,20,3,1,1,3,1,1,2,1,0,14,60.0,24,0.0,8,11,0,0,1,0,1.0,0.0,0.0,0,0,0,1,20.0,0,0
7,26,7,2,0,7,1,1,2,0,0,14,15.0,24,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,50.0,0,0
7,32,3,0,0,3,0,1,2,0,0,13,996.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,20.0,0,0
7,38,4,1,1,4,0,1,2,1,0,13,996.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0
7,44,6,1,0,6,1,1,2,0,0,14,5.0,24,0.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,80.0,1,0
7,50,1,0,0,1,0,1,2,0,1,71,996.0,22,0.0,12,34,1,1,1,0,0.0,0.0,0.0,0,0,0,1,50.0,0,1
7,56,5,1,1,5,2,1,2,1,0,14,20.0,24,1.0,8,34,1,0,1,0,1.0,0.0,0.0,0,0,0,1,30.0,1,0
7,62,2,0,0,2,0,1,2,0,0,14,20.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,70.0,0,0
7,68,3,1,0,3,1,1,2,0,0,14,15.0,24,1.0,7,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,30.0,0,0
7,74,8,2,1,8,1,1,2,1,0,13,996.0,24,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,240.0,1,0
7,86,7,0,0,7,0,1,2,0,0,14,5.0,24,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,60.0,1,0
7,91,6,1,0,6,1,1,2,0,0,14,3.0,24,1.0,8,11,0,0,1,0,1.0,0.0,0.0,0,0,0,1,150.0,1,0
7,97,6,2,2,6,1,1,2,1,0,14,20.0,23,1.0,8,11,0,0,0,0,1.0,0.0,0.0,0,0,0,1,100.0,1,0
7,103,8,1,0,8,3,1,2,0,0,14,30.0,24,0.0,8,11,0,0,1,0,1.0,1.0,0.0,0,0,0,1,200.0,0,0
7,109,4,1,0,4,0,1,2,0,0,14,10.0,24,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,40.0,0,0
7,115,4,1,1,4,0,1,2,1,0,14,10.0,24,1.0,8,11,1,0,0,0,0.0,0.0,0.0,0,0,0,1,100.0,1,0
7,121,1,0,0,1,0,1,2,0,0,14,15.0,23,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,100.0,0,0
7,127,5,1,0,5,1,1,2,0,0,14,5.0,24,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,40.0,0,0
8,3,1,1,0,1,0,1,2,1,1,12,996.0,22,1.0,7,34,0,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,1
8,6,1,0,0,1,0,1,2,0,0,12,996.0,22,0.0,8,34,0,0,0,0,1.0,0.0,0.0,0,0,0,1,10.0,0,0
8,9,5,1,0,5,1,1,2,0,1,13,996.0,24,0.0,8,34,1,1,0,0,1.0,0.0,0.0,0,0,0,0,,1,0
8,13,5,2,0,5,1,1,2,1,0,14,2.0,24,0.0,8,11,1,0,1,0,1.0,0.0,0.0,0,0,0,1,40.0,1,1
8,16,4,0,0,4,0,1,2,0,0,13,996.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0
8,19,5,1,0,5,1,1,2,0,0,14,10.0,22,0.0,8,11,1,0,0,0,0.0,0.0,0.0,0,0,0,1,40.0,1,0
8,22,4,0,0,4,1,1,2,1,0,13,996.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,20.0,1,0
8,29,8,1,0,8,1,1,2,0,0,14,10.0,21,0.0,8,34,1,1,1,0,0.0,0.0,0.0,1,0,0,1,10.0,1,1
8,32,4,1,0,4,0,1,2,1,0,14,5.0,24,1.0,8,11,1,0,1,0,0.0,0.0,0.0,0,0,0,1,20.0,1,0
8,36,4,1,0,4,1,1,2,0,0,14,20.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,5.0,1,1
8,39,2,0,0,2,0,1,2,0,0,14,10.0,24,0.0,8,11,1,0,1,0,0.0,0.0,0.0,0,0,0,1,30.0,1,1
8,42,7,1,2,7,1,1,2,1,0,13,996.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,20.0,1,0
8,46,3,1,0,3,1,1,2,0,0,14,10.0,24,1.0,8,11,1,0,1,0,0.0,0.0,0.0,0,0,0,1,30.0,1,0
8,49,2,1,0,2,0,1,2,0,0,14,15.0,21,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,10.0,0,0
8,52,5,1,0,5,1,1,2,0,0,14,5.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,1,30.0,1,0
8,56,3,0,0,3,0,1,2,1,0,14,10.0,24,0.0,8,11,1,0,0,0,0.0,0.0,0.0,0,0,0,1,40.0,1,0
8,59,3,1,0,3,0,1,2,0,0,42,30.0,31,,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,0,,1,0
8,62,3,0,0,3,0,1,2,0,0,14,15.0,24,1.0,8,11,1,0,0,0,1.0,0.0,0.0,0,0,0,1,90.0,1,0
8,66,3,1,1,3,1,1,2,1,0,14,5.0,24,1.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,1,20.0,0,0
8,69,3,1,0,3,0,1,2,0,0,14,10.0,24,1.0,8,11,0,0,1,0,1.0,0.0,0.0,0,0,0,1,10.0,0,0
8,72,3,0,0,3,0,1,2,0,0,14,5.0,24,0.0,8,11,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0
9,4,5,1,1,4,0,1,2,1,0,14,30.0,23,0.0,8,11,0,0,1,0,1.0,0.0,0.0,0,0,0,1,300.0,0,0
9,10,4,1,0,4,0,1,2,0,0,14,20.0,23,1.0,8,11,0,0,0,0,1.0,0.0,0.0,0,0,0,1,50.0,0,0
9,17,2,1,0,2,0,1,2,0,0,14,10.0,23,1.0,8,11,1,0,1,0,0.0,0.0,0.0,0,0,0,1,80.0,0,1
9,23,1,0,0,1,0,1,2,1,0,13,996.0,24,0.0,8,11,0,0,1,0,0.0,0.0,0.0,0,0,0,0,,1,0
9,30,5,0,0,5,0,1,2,0,0,13,996.0,23,1.0,8,11,0,0,1,0,1.0,0.0,0.0,0,0,0,1,200.0,0,0
