DHSID,DHSCLUST,All_Population_Count_2010,All_Population_Count_2015,All_Population_Density_2010,All_Population_Density_2015,Aridity,BUILT_Population_2014,Drought_Episodes,Enhanced_Vegetation_Index_2010,Enhanced_Vegetation_Index_2015,Global_Human_Footprint,Growing_Season_Length,ITN_Coverage_2010,ITN_Coverage_2015,Malaria_2010,Malaria_2015,Nightlights_Composite,Potential_Evapotranspiration,Proximity_to_National_Borders,Proximity_to_Protected_Areas,Proximity_to_Water,Rainfall_2010,Rainfall_2015,Travel_Times
TZ201500000293,293,34954.24609,40943.67188,111.26282090000001,130.3277554,5578.396226,0.002584312,4.285714286,3105.3,3071.0,27.1,8.0,0.512626614,0.6712620220000001,0.182515485,0.11060898599999999,0.041604163,1803.687332,238089.663,55725.27962,233529.6166,1003.1111109999999,1088.0,175.90566040000002
TZ201500000294,294,6478.234375,7588.283203,20.62086047,24.15425563,5620.1580380000005,1.27e-05,4.0,3194.090909,3093.636364,15.35422343,8.0,0.5221176829999999,0.6810389309999999,0.19405937199999998,0.134335441,0.0,1810.7220710000001,244567.6658,28492.84762,239097.7887,1059.8,1103.3,371.47956400000004
TZ201500000295,295,2908.421875,3406.78125,231.44485899999998,271.10303799999997,5373.857143,0.043009295,4.0,3029.0,2878.0,35.71428571,8.0,0.509072607,0.669015551,0.131095827,0.07790873200000001,0.42694298399999997,1774.9285710000001,318634.5302,33424.75598,233018.4258,979.0,1072.0,79.85714286
TZ201500000296,296,1830.4580079999998,2144.10791,5.826528802,6.824907447999999,3989.631436,0.0,4.0,2997.5,3015.4,28.33875339,8.0,0.47459605200000005,0.635792482,0.150947316,0.089605268,0.0,1664.880759,353208.3189,14079.657819999999,187492.2041,632.5454545,786.7272727000001,310.22222220000003
TZ201500000297,297,37524.76172,43954.64453,2986.125658,3497.7994740000004,5126.666667,0.439027603,4.0,2682.0,2718.0,76.13333333,8.0,0.40775541200000004,0.526134268,0.093731038,0.044637334,2.305996543,1749.4,294025.93100000004,89548.97891,213184.9965,950.0,991.0,3.6
TZ201500000298,298,9048.451172,10598.9082,720.0528657000001,843.4343157,5307.333333,0.0013698979999999998,4.0,2815.0,2785.0,46.0,8.0,0.54201695,0.690226338,0.12764734,0.062299099000000004,0.13668260699999998,1743.2,297311.8952,82733.85652,215680.5356,1038.0,1041.0,18.8
TZ201500000299,299,75975.625,88994.08594,241.83792549999998,283.2769737,5302.103825,0.005305441,2.25,3020.0,2952.583333,44.18306011,8.0,0.523598296,0.6700600170000001,0.14398968199999998,0.070153385,0.033569636,1769.0109289999998,282718.0932,91978.56155,212675.7525,1040.818182,1044.5454550000002,59.31147541
TZ201500000300,300,6253.76123,7325.34668,19.90634025,23.31730268,5676.565574,0.000481562,4.0,3205.9,3140.1,18.15300546,9.0,0.508997418,0.67460527,0.272453658,0.253520219,0.0,1742.912568,175968.2801,22926.372330000002,174090.4761,953.5,1056.3,291.2759563
TZ201500000301,301,10725.80664,12563.67969,34.14130291,39.99143452,5184.373984000001,5.3e-06,5.0,3214.6,3062.2,29.92643052,9.0,0.5030304560000001,0.667561004,0.25327967,0.143126074,0.0,1771.99458,188966.9104,50076.83644,191433.7927,976.0909091,1073.4545449999998,261.8292683
TZ201500000302,302,22457.91406,26306.08984,71.48576068,83.73488463,6193.181818,0.000487313,4.0,3250.333333,3239.583333,16.20320856,8.0,0.439525561,0.552042226,0.08545339099999999,0.064633565,0.0,1577.0,50590.847480000004,93470.24954,47115.12273,851.5,1203.4,138.4679144
